,Time,Ax,Ay,Az,Gx,Gy,Gz,Label
262,82716,0.93,-0.39,-0.33,83.96,38.05,53.23,1.0
263,82787,1.07,-0.57,-0.36,57.07,37.74,4.76,1.0
264,82895,1.11,-0.33,1.04,63.17,-35.67,29.45,1.0
265,82975,0.89,-1.08,-0.35,1.34,-161.83,50.49,1.0
266,83083,0.41,-0.49,-0.57,-7.68,-36.22,-174.7,1.0
267,83182,0.68,-0.51,-0.64,0.73,52.87,-23.9,1.0
268,83262,0.81,-0.48,-0.6,20.61,47.5,-10.55,1.0
269,83369,0.9,-0.39,-0.54,-68.84,47.62,-37.26,1.0
270,83486,0.67,0.52,-0.03,-7.26,39.88,-52.32,1.0
271,83557,0.66,-1.02,-0.71,-239.94,104.39,-358.35,1.0
272,83665,1.37,0.16,-0.12,-86.16,411.34,42.68,1.0
273,83773,1.15,0.33,0.28,-79.15,-68.17,62.74,1.0
274,83853,1.0,0.17,0.15,-1.46,-57.56,-149.7,1.0
275,83951,1.03,0.53,0.18,-43.11,30.55,-178.48,1.0
276,84031,0.39,0.58,-1.1,-13.96,-117.8,14.27,1.0
277,84142,0.85,0.47,-0.23,43.35,18.11,-33.66,1.0
278,84253,0.79,0.5,0.06,68.41,6.46,25.06,1.0
279,84328,0.48,0.15,-0.23,25.79,49.39,20.55,1.0
280,84436,0.88,0.47,-0.08,-29.02,-27.87,-6.59,1.0
281,84547,1.06,0.94,0.24,6.1,235.24,-50.12,1.0
282,84630,0.34,0.34,0.42,176.22,-36.46,202.5,1.0
283,84733,0.76,0.13,-0.57,-6.95,-67.68,9.39,1.0
284,84816,0.95,0.01,-0.27,-15.0,-10.18,-6.1,1.0
285,84927,0.96,0.04,-0.3,-12.56,24.57,-38.96,1.0
286,85038,0.6,0.46,-0.18,59.09,105.55,37.38,1.0
287,85112,1.12,0.16,0.05,-41.46,-7.44,5.37,1.0
288,85223,0.85,0.1,-0.3,-2.93,25.37,-1.59,1.0
289,85334,1.08,0.15,-0.16,-15.85,27.99,-27.68,1.0
290,85409,0.98,0.21,-0.02,-26.28,30.79,-40.06,1.0
291,85519,1.05,0.23,-0.05,-6.1,-5.91,-10.85,1.0
292,85602,0.94,0.36,-0.05,9.63,-14.7,8.23,1.0
293,85713,0.77,0.26,-0.35,2.5,-36.95,-2.01,1.0
294,85878,0.89,-0.18,0.05,-29.39,124.88,15.55,1.0
